study_ref_id,biodist_type,animal_model,cell_lines,dosage_symbols,dosage_value,dosage_unit,detection_time,metabolism,excretion,tumor_retention_time,tbr_tumor_blood,tbr_tumor_muscle,tbr_tumor_kidney,tbr_tumor_salivary_glands,tbr_tumor_liver,tbr_tumor_lung,tbr_tumor_heart,biodist_result_image,biodist_description,created_at,updated_at
BIO05438,Ex vivo biodistribution,KB tumor-bearing nude mice,KB cell,=,,,2h,"It exhibits excellent in vivo stability with over 70% intact in blood within 6 h, rapid blood clearance (αₜ₁/₂=13.5 min, βᵣ₁/₂=145.9 min), and no obvious metabolic degradation mentioned.","Its excretion is related to renal pathway, as evidenced by high kidney uptake due to FR expression in proximal tubules and the conjugate’s molecular weight.",＞6h,,,,,,,,BIOR05438,"It shows rapid blood clearance, increasing tumor uptake over time (13.34 ± 1.36% ID/g at 6 h p.i.), high kidney accumulation, and minimal uptake in stomach, muscle, brain and throat.",,
BIO05438,Ex vivo biodistribution,KB tumor-bearing nude mice,KB cell,=,,,4h,"It exhibits excellent in vivo stability with over 70% intact in blood within 6 h, rapid blood clearance (αₜ₁/₂=13.5 min, βᵣ₁/₂=145.9 min), and no obvious metabolic degradation mentioned.","Its excretion is related to renal pathway, as evidenced by high kidney uptake due to FR expression in proximal tubules and the conjugate’s molecular weight.",＞6h,,,,,,,,BIOR05438,"It shows rapid blood clearance, increasing tumor uptake over time (13.34 ± 1.36% ID/g at 6 h p.i.), high kidney accumulation, and minimal uptake in stomach, muscle, brain and throat.",,
BIO05438,Ex vivo biodistribution,KB tumor-bearing nude mice,KB cell,=,,,6h,"It exhibits excellent in vivo stability with over 70% intact in blood within 6 h, rapid blood clearance (αₜ₁/₂=13.5 min, βᵣ₁/₂=145.9 min), and no obvious metabolic degradation mentioned.","Its excretion is related to renal pathway, as evidenced by high kidney uptake due to FR expression in proximal tubules and the conjugate’s molecular weight.",＞6h,,,,,,,,BIOR05438,"It shows rapid blood clearance, increasing tumor uptake over time (13.34 ± 1.36% ID/g at 6 h p.i.), high kidney accumulation, and minimal uptake in stomach, muscle, brain and throat.",,
BIO05442,Ex vivo biodistribution,KB tumor-bearing nude mice,KB cell,,,,2h,"It exhibits high in vitro stability (≥84% intact at 6 h in PBS/serum) and in vivo stability (80.45% intact in blood within 6 h), with rapid blood clearance (plasma t₁/₂=13.75 min) and no obvious metabolic degradation mentioned.","Its excretion is mainly via kidneys (major clearance organ due to FR expression), with renal uptake slightly increasing from 22.06% ID/g at 2 h to 28.18% ID/g at 6 h p.i.",＞6h,,,,,,,,BIOR05442,"It is rapidly cleared from blood (12.59% ID/g at 2 h to 4.00% ID/g at 6 h), shows increasing tumor uptake (3.10% ID/g at 2 h to 6.78% ID/g at 6 h), high renal accumulation, and low levels in FR-negative organs.",,
BIO05442,Ex vivo biodistribution,KB tumor-bearing nude mice,KB cell,,,,6h,"It exhibits high in vitro stability (≥84% intact at 6 h in PBS/serum) and in vivo stability (80.45% intact in blood within 6 h), with rapid blood clearance (plasma t₁/₂=13.75 min) and no obvious metabolic degradation mentioned.","Its excretion is mainly via kidneys (major clearance organ due to FR expression), with renal uptake slightly increasing from 22.06% ID/g at 2 h to 28.18% ID/g at 6 h p.i.",＞6h,,,,,,,,BIOR05442,"It is rapidly cleared from blood (12.59% ID/g at 2 h to 4.00% ID/g at 6 h), shows increasing tumor uptake (3.10% ID/g at 2 h to 6.78% ID/g at 6 h), high renal accumulation, and low levels in FR-negative organs.",,
BIO05443,Ex vivo biodistribution,female Albino Wistar rats,,=,20,ug,30min,"It shows high stability in human serum (~95.4% intact at 180 min), low lipophilicity (log D=-0.96±0.39), and rapid blood clearance with no obvious metabolic degradation reported.","Its excretion is associated with renal pathway, with kidney uptake increasing over time and reaching >0.1% ID/g at 180 min p.i., along with clearance from gastrointestinal organs.",＞3h,,,,,,,,BIOR05443,"It accumulates in FR-rich organs (ovary, uterus, kidney) with slower clearance, reaches uptake peaks in gastrointestinal organs at 60 min, and shows marked decrease in those organs by 180 min.",,
BIO05443,Ex vivo biodistribution,female Albino Wistar rats,,=,20,ug,60min,"It shows high stability in human serum (~95.4% intact at 180 min), low lipophilicity (log D=-0.96±0.39), and rapid blood clearance with no obvious metabolic degradation reported.","Its excretion is associated with renal pathway, with kidney uptake increasing over time and reaching >0.1% ID/g at 180 min p.i., along with clearance from gastrointestinal organs.",＞3h,,,,,,,,BIOR05443,"It accumulates in FR-rich organs (ovary, uterus, kidney) with slower clearance, reaches uptake peaks in gastrointestinal organs at 60 min, and shows marked decrease in those organs by 180 min.",,
BIO05443,Ex vivo biodistribution,female Albino Wistar rats,,=,20,ug,180min,"It shows high stability in human serum (~95.4% intact at 180 min), low lipophilicity (log D=-0.96±0.39), and rapid blood clearance with no obvious metabolic degradation reported.","Its excretion is associated with renal pathway, with kidney uptake increasing over time and reaching >0.1% ID/g at 180 min p.i., along with clearance from gastrointestinal organs.",＞3h,,,,,,,,BIOR05443,"It accumulates in FR-rich organs (ovary, uterus, kidney) with slower clearance, reaches uptake peaks in gastrointestinal organs at 60 min, and shows marked decrease in those organs by 180 min.",,
BIO05444,Ex vivo biodistribution,mice bearing IGROV-1 tumor xenografts,IGROV-1 cell,,,,2h,"It shows no free Gd ions detected, retains in tumors over 14 h (either FR-bound or internalized), and has rapid clearance from FR-negative tissues (t₁/₂<10 min) with no metabolic degradation mentioned.","Its excretion involves rapid clearance from FR-negative tissues (t₁/₂<10 min), with kidneys showing slight non-significant R₁ increase and no prominent excretion-related accumulation reported.",＞14h,,,,,,,,,"It shows clear tumor enhancement with increasing R₁ values (2 h to 14 h), Gd mainly localizes in tumor rim, and slight non-significant R₁ increase in liver and kidneys.",,
BIO05444,Ex vivo biodistribution,mice bearing IGROV-1 tumor xenografts,IGROV-1 cell,,,,14h,"It shows no free Gd ions detected, retains in tumors over 14 h (either FR-bound or internalized), and has rapid clearance from FR-negative tissues (t₁/₂<10 min) with no metabolic degradation mentioned.","Its excretion involves rapid clearance from FR-negative tissues (t₁/₂<10 min), with kidneys showing slight non-significant R₁ increase and no prominent excretion-related accumulation reported.",＞14h,,,,,,,,,"It shows clear tumor enhancement with increasing R₁ values (2 h to 14 h), Gd mainly localizes in tumor rim, and slight non-significant R₁ increase in liver and kidneys.",,
BIO05445,Ex vivo biodistribution,mice bearing OVCAR-3 tumor xenografts,OVCAR-3 cell,,,,2h,"It exhibits no tumor enhancement, rapid clearance from FR-negative tissues (t₁/₂<10 min), and no significant metabolic breakdown reported, with minimal non-specific uptake.","It undergoes rapid excretion from FR-negative tissues (t₁/₂<10 min), with minimal uptake in normal organs except kidneys and no notable excretion-related tissue retention.",＞14h,,,,,,,,,"It exhibits no tumor enhancement or R₁ value changes, minimal uptake in normal organs except kidneys, and no Gd detection in tumors.",,
BIO05445,Ex vivo biodistribution,mice bearing OVCAR-3 tumor xenografts,OVCAR-3 cell,,,,14h,"It exhibits no tumor enhancement, rapid clearance from FR-negative tissues (t₁/₂<10 min), and no significant metabolic breakdown reported, with minimal non-specific uptake.","It undergoes rapid excretion from FR-negative tissues (t₁/₂<10 min), with minimal uptake in normal organs except kidneys and no notable excretion-related tissue retention.",＞14h,,,,,,,,,"It exhibits no tumor enhancement or R₁ value changes, minimal uptake in normal organs except kidneys, and no Gd detection in tumors.",,
BIO05446,Ex vivo biodistribution,nude mice bearing KB tumor xenografts.,KB cell,=,1.5,MBq,1h,"It shows high radiochemical purity (>92%), rapid cell association (80% ID at 4 h) and 16% ID internalization, with 80% radioactivity retained in cells after 4 h incubation in fresh medium.","Its excretion is associated with renal pathway, showing the highest kidney accumulation (103.0% ID/g at 4 h p.i.), and low blood retention (<0.5% ID/g).",＞4h,36.19 ±5.05,5.39±1.20,0.14±0.04,,2.62±0.72,,,BIOR05446,"It shows high tumor accumulation (11.8±2.8 to 14.3±4.1% ID/g at 1–4 h p.i.), highest kidney uptake (103.0% ID/g at 4 h), low blood uptake (<0.5% ID/g), and high tumor/blood ratios (36–70).",,
BIO05446,Ex vivo biodistribution,nude mice bearing KB tumor xenografts.,KB cell,=,1.5,MBq,2h,"It shows high radiochemical purity (>92%), rapid cell association (80% ID at 4 h) and 16% ID internalization, with 80% radioactivity retained in cells after 4 h incubation in fresh medium.","Its excretion is associated with renal pathway, showing the highest kidney accumulation (103.0% ID/g at 4 h p.i.), and low blood retention (<0.5% ID/g).",＞4h,50.12±11.21,4.84±1.21,0.12±0.02,,4.07±1.30,,,BIOR05446,"It shows high tumor accumulation (11.8±2.8 to 14.3±4.1% ID/g at 1–4 h p.i.), highest kidney uptake (103.0% ID/g at 4 h), low blood uptake (<0.5% ID/g), and high tumor/blood ratios (36–70).",,
BIO05446,Ex vivo biodistribution,nude mice bearing KB tumor xenografts.,KB cell,=,1.5,MBq,4h,"It shows high radiochemical purity (>92%), rapid cell association (80% ID at 4 h) and 16% ID internalization, with 80% radioactivity retained in cells after 4 h incubation in fresh medium.","Its excretion is associated with renal pathway, showing the highest kidney accumulation (103.0% ID/g at 4 h p.i.), and low blood retention (<0.5% ID/g).",＞4h,70.01±7.37,8.87 ± 3.78,0.12±0.01,,6.88±2.08,,,BIOR05446,"It shows high tumor accumulation (11.8±2.8 to 14.3±4.1% ID/g at 1–4 h p.i.), highest kidney uptake (103.0% ID/g at 4 h), low blood uptake (<0.5% ID/g), and high tumor/blood ratios (36–70).",,
BIO05447,Ex vivo biodistribution,nude mice bearing HT1080 (low folate receptor expression) tumor xenografts.,HT1080 cell,=,1.5,MBq,1h,"It has low tumor accumulation (1.0%–1.5% ID/g at 1–4 h p.i.), low blood uptake (<0.5% ID/g), and no explicit metabolic degradation reported.","It undergoes excretion with prominent renal accumulation, low blood uptake (<0.5% ID/g), and minimal tumor accumulation (1.0%–1.5% ID/g at 1–4 h p.i.).",＞4h,36.19 ±5.05,5.39±1.20,0.14±0.04,,2.62±0.72,,,BIOR05447,"It exhibits low tumor accumulation (1.0%–1.5% ID/g at 1–4 h p.i.), prominent kidney uptake, minimal uptake in other organs, and barely visible tumors on PET imaging.",,
BIO05447,Ex vivo biodistribution,nude mice bearing HT1080 (low folate receptor expression) tumor xenografts.,HT1080 cell,=,1.5,MBq,2h,"It has low tumor accumulation (1.0%–1.5% ID/g at 1–4 h p.i.), low blood uptake (<0.5% ID/g), and no explicit metabolic degradation reported.","It undergoes excretion with prominent renal accumulation, low blood uptake (<0.5% ID/g), and minimal tumor accumulation (1.0%–1.5% ID/g at 1–4 h p.i.).",＞4h,50.12±11.21,4.84±1.21,0.12±0.02,,4.07±1.30,,,BIOR05447,"It exhibits low tumor accumulation (1.0%–1.5% ID/g at 1–4 h p.i.), prominent kidney uptake, minimal uptake in other organs, and barely visible tumors on PET imaging.",,
BIO05447,Ex vivo biodistribution,nude mice bearing HT1080 (low folate receptor expression) tumor xenografts.,HT1080 cell,=,1.5,MBq,4h,"It has low tumor accumulation (1.0%–1.5% ID/g at 1–4 h p.i.), low blood uptake (<0.5% ID/g), and no explicit metabolic degradation reported.","It undergoes excretion with prominent renal accumulation, low blood uptake (<0.5% ID/g), and minimal tumor accumulation (1.0%–1.5% ID/g at 1–4 h p.i.).",＞4h,70.01±7.37,8.87 ± 3.78,0.12±0.01,,6.88±2.08,,,BIOR05447,"It exhibits low tumor accumulation (1.0%–1.5% ID/g at 1–4 h p.i.), prominent kidney uptake, minimal uptake in other organs, and barely visible tumors on PET imaging.",,
BIO05448,Ex vivo biodistribution,normal Balb/c mice,,=,749,KBq,10min,"It has low lipophilicity (partition coefficient=0.14±0.01), high stability in human plasma (≥4 h at 37°C), and rapid blood clearance (0.04±0.01% ID/g at 120 min p.i.).","It is excreted primarily via the urinary route, with high kidney accumulation (13.8±5.9% ID/g at 10 min p.i.) and low intestinal radioactivity (0.03±0.01% ID/g at 120 min p.i.).",＞2h,,,,,,,,BIOR05448,"It is rapidly cleared from blood (0.04±0.01% ID/g at 120 min p.i.), shows high kidney accumulation and low intestinal uptake, with primary urinary excretion.",,
BIO05448,Ex vivo biodistribution,normal Balb/c mice,,=,749,KBq,60min,"It has low lipophilicity (partition coefficient=0.14±0.01), high stability in human plasma (≥4 h at 37°C), and rapid blood clearance (0.04±0.01% ID/g at 120 min p.i.).","It is excreted primarily via the urinary route, with high kidney accumulation (13.8±5.9% ID/g at 10 min p.i.) and low intestinal radioactivity (0.03±0.01% ID/g at 120 min p.i.).",＞2h,,,,,,,,BIOR05448,"It is rapidly cleared from blood (0.04±0.01% ID/g at 120 min p.i.), shows high kidney accumulation and low intestinal uptake, with primary urinary excretion.",,
BIO05448,Ex vivo biodistribution,normal Balb/c mice,,=,749,KBq,120min,"It has low lipophilicity (partition coefficient=0.14±0.01), high stability in human plasma (≥4 h at 37°C), and rapid blood clearance (0.04±0.01% ID/g at 120 min p.i.).","It is excreted primarily via the urinary route, with high kidney accumulation (13.8±5.9% ID/g at 10 min p.i.) and low intestinal radioactivity (0.03±0.01% ID/g at 120 min p.i.).",＞2h,,,,,,,,BIOR05448,"It is rapidly cleared from blood (0.04±0.01% ID/g at 120 min p.i.), shows high kidney accumulation and low intestinal uptake, with primary urinary excretion.",,
BIO05449,Ex vivo biodistribution,in nude mice bearing KB cell tumors,KB cell,,,,60min,"It shows FR binding affinity (15.51±1.80 nM), 11.86±0.43% cellular internalization in 20 min, and rapid blood clearance with no explicit metabolic degradation reported.","It undergoes urinary excretion, showing high kidney uptake and low intestinal accumulation, with radioactivity mainly present in kidneys, bladder, and tumor on PET imaging.",＞1h,,,,,,,,BIOR05449,"It has tumor uptake of 5.74±0.16% ID/g at 60 min p.i., high tumor/blood (14.70) and tumor/muscle (28.70) ratios, and radioactivity mainly in kidneys, bladder, and tumor.",,
BIO05450,Ex vivo biodistribution,in nude mice bearing KB cell tumors,KB cell,,,,1h,"It has high radiochemical purity (>92%), rapid cell association (72% ID at 4 h) and 15% ID internalization, with 76% radioactivity retained in cells after 4 h incubation in fresh medium.","Its excretion is mainly via renal pathway, with the highest kidney accumulation (130% ID/g at 4 h p.i.) and low blood retention (0.06% ID/g at 4 h p.i.).",＞24h,81,,,,,,,BIOR05450,"It shows high tumor accumulation (15.56±3.67 to 18.42±0.74% ID/g at 1–24 h p.i.), highest kidney uptake (130% ID/g at 4 h), low blood uptake (0.06% ID/g at 4 h), and high tumor/blood ratios (81–391).",,
BIO05450,Ex vivo biodistribution,in nude mice bearing KB cell tumors,KB cell,,,,2h,"It has high radiochemical purity (>92%), rapid cell association (72% ID at 4 h) and 15% ID internalization, with 76% radioactivity retained in cells after 4 h incubation in fresh medium.","Its excretion is mainly via renal pathway, with the highest kidney accumulation (130% ID/g at 4 h p.i.) and low blood retention (0.06% ID/g at 4 h p.i.).",＞24h,207,,,,,,,BIOR05450,"It shows high tumor accumulation (15.56±3.67 to 18.42±0.74% ID/g at 1–24 h p.i.), highest kidney uptake (130% ID/g at 4 h), low blood uptake (0.06% ID/g at 4 h), and high tumor/blood ratios (81–391).",,
BIO05450,Ex vivo biodistribution,in nude mice bearing KB cell tumors,KB cell,,,,4h,"It has high radiochemical purity (>92%), rapid cell association (72% ID at 4 h) and 15% ID internalization, with 76% radioactivity retained in cells after 4 h incubation in fresh medium.","Its excretion is mainly via renal pathway, with the highest kidney accumulation (130% ID/g at 4 h p.i.) and low blood retention (0.06% ID/g at 4 h p.i.).",＞24h,254,,,,,,,BIOR05450,"It shows high tumor accumulation (15.56±3.67 to 18.42±0.74% ID/g at 1–24 h p.i.), highest kidney uptake (130% ID/g at 4 h), low blood uptake (0.06% ID/g at 4 h), and high tumor/blood ratios (81–391).",,
BIO05450,Ex vivo biodistribution,in nude mice bearing KB cell tumors,KB cell,,,,24h,"It has high radiochemical purity (>92%), rapid cell association (72% ID at 4 h) and 15% ID internalization, with 76% radioactivity retained in cells after 4 h incubation in fresh medium.","Its excretion is mainly via renal pathway, with the highest kidney accumulation (130% ID/g at 4 h p.i.) and low blood retention (0.06% ID/g at 4 h p.i.).",＞24h,391,,,,,,,BIOR05450,"It shows high tumor accumulation (15.56±3.67 to 18.42±0.74% ID/g at 1–24 h p.i.), highest kidney uptake (130% ID/g at 4 h), low blood uptake (0.06% ID/g at 4 h), and high tumor/blood ratios (81–391).",,
BIO05451,Ex vivo biodistribution,in nude mice bearing KB cell tumors,KB cell,=,2.96,MBq,1h,"It has high radiochemical purity (>97%), excellent stability in human serum (up to 24 h at 37ºC), and biphasic blood clearance with half-lives of 12 min and 140 min.","It is excreted with high initial accumulation in liver (17.6% ID/g) and kidney (15.0% ID/g) at 1 h p.i., and organ levels decrease to <1% ID/g by 24 h.",＞24h,2.3 ± 0.3,,,,,,,BIOR05451,"It shows tumor accumulation peaking at 4 h (6.26±0.40% ID/g), highest initial organ uptake in liver (17.6% ID/g) and kidney (15.0% ID/g) at 1 h, and low uptake (<2% ID/g) in blood/heart/lung/stomach/muscle.",,
BIO05451,Ex vivo biodistribution,in nude mice bearing KB cell tumors,KB cell,=,2.96,MBq,4h,"It has high radiochemical purity (>97%), excellent stability in human serum (up to 24 h at 37ºC), and biphasic blood clearance with half-lives of 12 min and 140 min.","It is excreted with high initial accumulation in liver (17.6% ID/g) and kidney (15.0% ID/g) at 1 h p.i., and organ levels decrease to <1% ID/g by 24 h.",＞24h,6.1 ± 1.0,,,,,,,BIOR05451,"It shows tumor accumulation peaking at 4 h (6.26±0.40% ID/g), highest initial organ uptake in liver (17.6% ID/g) and kidney (15.0% ID/g) at 1 h, and low uptake (<2% ID/g) in blood/heart/lung/stomach/muscle.",,
BIO05452,Ex vivo biodistribution,nude mice bearing KB tumor xenografts,KB cell,=,8.5–12.9,MBq,90min,"It has high radiochemical purity (98.3±2.9%), high specific activity (68.82±18.5 GBq/μmol), and FR-mediated uptake with no explicit metabolic degradation reported.","Its excretion is predominantly renal, with high kidney accumulation (78.6±5.1% ID/g at 90 min p.i.) and minimal hepatobiliary excretion (liver: 5.3±0.5% ID/g).",＞1.5h,55.8 ± 11.5,,0.1 ± 0.03,,2.0 ± 0.4,,,BIOR05452,"It shows high tumor accumulation (10.9±2.7% ID/g at 90 min p.i.), highest kidney uptake (78.6±5.1% ID/g), low liver accumulation (5.3±0.5% ID/g), and minimal uptake in other organs.",,
BIO05453,Ex vivo biodistribution,B16F10 tumor-bearing mice,B16F10 cells,=,1.11,MBq,5min,"It is stable in PBS (>90% purity for 2 h) and FBS (>85% purity for 2 h), with rapid blood clearance and no explicit metabolic degradation described.","It is mainly excreted via the urinary system, with kidney uptake peaking at 5 min (12.74±3.71% ID/g) and decreasing by over 50% at 1 h, and low liver accumulation (0.96±0.02% ID/g at 1 h).",＞2h,,,,,,,,BIOR05453,"It rapidly accumulates in tumors (peaking at 3.35±0.34% ID/g at 1 h), shows high kidney uptake (12.74±3.71% ID/g at 5 min), rapid blood clearance, and low accumulation in other organs.",,
BIO05453,Ex vivo biodistribution,B16F10 tumor-bearing mice,B16F10 cells,=,1.11,MBq,15min,"It is stable in PBS (>90% purity for 2 h) and FBS (>85% purity for 2 h), with rapid blood clearance and no explicit metabolic degradation described.","It is mainly excreted via the urinary system, with kidney uptake peaking at 5 min (12.74±3.71% ID/g) and decreasing by over 50% at 1 h, and low liver accumulation (0.96±0.02% ID/g at 1 h).",＞2h,,,,,,,,BIOR05453,"It rapidly accumulates in tumors (peaking at 3.35±0.34% ID/g at 1 h), shows high kidney uptake (12.74±3.71% ID/g at 5 min), rapid blood clearance, and low accumulation in other organs.",,
BIO05453,Ex vivo biodistribution,B16F10 tumor-bearing mice,B16F10 cells,=,1.11,MBq,30min,"It is stable in PBS (>90% purity for 2 h) and FBS (>85% purity for 2 h), with rapid blood clearance and no explicit metabolic degradation described.","It is mainly excreted via the urinary system, with kidney uptake peaking at 5 min (12.74±3.71% ID/g) and decreasing by over 50% at 1 h, and low liver accumulation (0.96±0.02% ID/g at 1 h).",＞2h,,,,,,,,BIOR05453,"It rapidly accumulates in tumors (peaking at 3.35±0.34% ID/g at 1 h), shows high kidney uptake (12.74±3.71% ID/g at 5 min), rapid blood clearance, and low accumulation in other organs.",,
BIO05453,Ex vivo biodistribution,B16F10 tumor-bearing mice,B16F10 cells,=,1.11,MBq,1h,"It is stable in PBS (>90% purity for 2 h) and FBS (>85% purity for 2 h), with rapid blood clearance and no explicit metabolic degradation described.","It is mainly excreted via the urinary system, with kidney uptake peaking at 5 min (12.74±3.71% ID/g) and decreasing by over 50% at 1 h, and low liver accumulation (0.96±0.02% ID/g at 1 h).",＞2h,,,,,,,,BIOR05453,"It rapidly accumulates in tumors (peaking at 3.35±0.34% ID/g at 1 h), shows high kidney uptake (12.74±3.71% ID/g at 5 min), rapid blood clearance, and low accumulation in other organs.",,
BIO05453,Ex vivo biodistribution,B16F10 tumor-bearing mice,B16F10 cells,=,1.11,MBq,2h,"It is stable in PBS (>90% purity for 2 h) and FBS (>85% purity for 2 h), with rapid blood clearance and no explicit metabolic degradation described.","It is mainly excreted via the urinary system, with kidney uptake peaking at 5 min (12.74±3.71% ID/g) and decreasing by over 50% at 1 h, and low liver accumulation (0.96±0.02% ID/g at 1 h).",＞2h,,,,,,,,BIOR05453,"It rapidly accumulates in tumors (peaking at 3.35±0.34% ID/g at 1 h), shows high kidney uptake (12.74±3.71% ID/g at 5 min), rapid blood clearance, and low accumulation in other organs.",,
BIO05454,Ex vivo biodistribution,Subcutaneous inoculation of KB cells on both shoulders or right shoulder of female germ free mice (CD-1 Foxn-1/nu) aged 5 to 6 weeks,KB cell,=,3,MBq,1h,"It shows ≥99% in vivo stability in plasma at 4 h p.i., ~93% binding to mouse plasma proteins, and enhanced blood retention with no explicit metabolic degradation reported.","It is excreted with kidney uptake peaking at 24 h (24±4% IA/g), followed by washout, and low liver accumulation (1.3±0.2% IA/g at 24 h) indicating minimal hepatobiliary excretion.",＞120h,,,,,,,,BIOR05454,"It has high tumor accumulation (max 47±4% IA/g at 24 h), moderate kidney uptake (24±4% IA/g at 24 h), enhanced blood retention, and low liver/muscle/bone uptake.",,
BIO05454,Ex vivo biodistribution,Subcutaneous inoculation of KB cells on both shoulders or right shoulder of female germ free mice (CD-1 Foxn-1/nu) aged 5 to 6 weeks,KB cell,=,3,MBq,4h,"It shows ≥99% in vivo stability in plasma at 4 h p.i., ~93% binding to mouse plasma proteins, and enhanced blood retention with no explicit metabolic degradation reported.","It is excreted with kidney uptake peaking at 24 h (24±4% IA/g), followed by washout, and low liver accumulation (1.3±0.2% IA/g at 24 h) indicating minimal hepatobiliary excretion.",＞120h,,,,,,,,BIOR05454,"It has high tumor accumulation (max 47±4% IA/g at 24 h), moderate kidney uptake (24±4% IA/g at 24 h), enhanced blood retention, and low liver/muscle/bone uptake.",,
BIO05454,Ex vivo biodistribution,Subcutaneous inoculation of KB cells on both shoulders or right shoulder of female germ free mice (CD-1 Foxn-1/nu) aged 5 to 6 weeks,KB cell,=,3,MBq,24h,"It shows ≥99% in vivo stability in plasma at 4 h p.i., ~93% binding to mouse plasma proteins, and enhanced blood retention with no explicit metabolic degradation reported.","It is excreted with kidney uptake peaking at 24 h (24±4% IA/g), followed by washout, and low liver accumulation (1.3±0.2% IA/g at 24 h) indicating minimal hepatobiliary excretion.",＞120h,,,,,,,,BIOR05454,"It has high tumor accumulation (max 47±4% IA/g at 24 h), moderate kidney uptake (24±4% IA/g at 24 h), enhanced blood retention, and low liver/muscle/bone uptake.",,
BIO05454,Ex vivo biodistribution,Subcutaneous inoculation of KB cells on both shoulders or right shoulder of female germ free mice (CD-1 Foxn-1/nu) aged 5 to 6 weeks,KB cell,=,3,MBq,48h,"It shows ≥99% in vivo stability in plasma at 4 h p.i., ~93% binding to mouse plasma proteins, and enhanced blood retention with no explicit metabolic degradation reported.","It is excreted with kidney uptake peaking at 24 h (24±4% IA/g), followed by washout, and low liver accumulation (1.3±0.2% IA/g at 24 h) indicating minimal hepatobiliary excretion.",＞120h,,,,,,,,BIOR05454,"It has high tumor accumulation (max 47±4% IA/g at 24 h), moderate kidney uptake (24±4% IA/g at 24 h), enhanced blood retention, and low liver/muscle/bone uptake.",,
BIO05454,Ex vivo biodistribution,Subcutaneous inoculation of KB cells on both shoulders or right shoulder of female germ free mice (CD-1 Foxn-1/nu) aged 5 to 6 weeks,KB cell,=,3,MBq,72h,"It shows ≥99% in vivo stability in plasma at 4 h p.i., ~93% binding to mouse plasma proteins, and enhanced blood retention with no explicit metabolic degradation reported.","It is excreted with kidney uptake peaking at 24 h (24±4% IA/g), followed by washout, and low liver accumulation (1.3±0.2% IA/g at 24 h) indicating minimal hepatobiliary excretion.",＞120h,,,,,,,,BIOR05454,"It has high tumor accumulation (max 47±4% IA/g at 24 h), moderate kidney uptake (24±4% IA/g at 24 h), enhanced blood retention, and low liver/muscle/bone uptake.",,
BIO05454,Ex vivo biodistribution,Subcutaneous inoculation of KB cells on both shoulders or right shoulder of female germ free mice (CD-1 Foxn-1/nu) aged 5 to 6 weeks,KB cell,=,3,MBq,120h,"It shows ≥99% in vivo stability in plasma at 4 h p.i., ~93% binding to mouse plasma proteins, and enhanced blood retention with no explicit metabolic degradation reported.","It is excreted with kidney uptake peaking at 24 h (24±4% IA/g), followed by washout, and low liver accumulation (1.3±0.2% IA/g at 24 h) indicating minimal hepatobiliary excretion.",＞120h,,,,,,,,BIOR05454,"It has high tumor accumulation (max 47±4% IA/g at 24 h), moderate kidney uptake (24±4% IA/g at 24 h), enhanced blood retention, and low liver/muscle/bone uptake.",,
BIO05455,Ex vivo biodistribution,Subcutaneous inoculation of KB cells on both shoulders or right shoulder of female germ free mice (CD-1 Foxn-1/nu) aged 5 to 6 weeks,KB cell,=,3,MBq,1h,"It demonstrates ≥99% in vivo plasma stability at 4 h p.i., ~93% binding to mouse plasma proteins, and no explicit metabolic degradation described.","It is excreted with high kidney retention peaking at 24 h (69±7% IA/g), slow washout, and low liver uptake (0.81±0.22% IA/g at 24 h) showing minor hepatobiliary excretion.",＞120h,,,,,,,,BIOR05455,"It shows high tumor uptake (max 51±7% IA/g at 48 h), high kidney retention (69±7% IA/g at 24 h), elevated early blood activity, and low non-target tissue accumulation.",,
BIO05455,Ex vivo biodistribution,Subcutaneous inoculation of KB cells on both shoulders or right shoulder of female germ free mice (CD-1 Foxn-1/nu) aged 5 to 6 weeks,KB cell,=,3,MBq,4h,"It demonstrates ≥99% in vivo plasma stability at 4 h p.i., ~93% binding to mouse plasma proteins, and no explicit metabolic degradation described.","It is excreted with high kidney retention peaking at 24 h (69±7% IA/g), slow washout, and low liver uptake (0.81±0.22% IA/g at 24 h) showing minor hepatobiliary excretion.",＞120h,,,,,,,,BIOR05455,"It shows high tumor uptake (max 51±7% IA/g at 48 h), high kidney retention (69±7% IA/g at 24 h), elevated early blood activity, and low non-target tissue accumulation.",,
BIO05455,Ex vivo biodistribution,Subcutaneous inoculation of KB cells on both shoulders or right shoulder of female germ free mice (CD-1 Foxn-1/nu) aged 5 to 6 weeks,KB cell,=,3,MBq,24h,"It demonstrates ≥99% in vivo plasma stability at 4 h p.i., ~93% binding to mouse plasma proteins, and no explicit metabolic degradation described.","It is excreted with high kidney retention peaking at 24 h (69±7% IA/g), slow washout, and low liver uptake (0.81±0.22% IA/g at 24 h) showing minor hepatobiliary excretion.",＞120h,,,,,,,,BIOR05455,"It shows high tumor uptake (max 51±7% IA/g at 48 h), high kidney retention (69±7% IA/g at 24 h), elevated early blood activity, and low non-target tissue accumulation.",,
